old_keyword,action,new_keyword
Regulatory Reform,replace,regulatory reform
reimbrsement,replace,reimbursement
Relative Timber Value,replace,relative timber value
releases,replace,release
Remote imagery,replace,remote imagery
Remote Sensing,replace,remote sensing
renovations,replace,renovation
Repeater,replace,repeater
repha,remove,
Report,replace,report
Report to Crown Council,replace,report to crown council
Representative Hectares,replace,representative hectares
Request Permission,replace,request permission
Research,replace,research
reserves,replace,reserve
Reserves,replace,reserve
Resevoir,replace,reservoir
residents,replace,resident
Resort Development,replace,resort development
Resource,replace,resource
Resource development zones,replace,resource development zones
Resource Management,replace,resource management
Resource Management Units,replace,resource management unit
Resource Management Zones,replace,resource management zones
Resource Opportunities,replace,resource opportunities
Resources,replace,resource
resources,replace,resource
Respite Services,replace,respite services
Rest Area,replace,rest area
Restaurant,replace,restaurant
Restaurant and Catering Services,replace,restaurant and catering service
Restaurants,replace,restaurants
Resultant,replace,resultant
Resultant File,replace,resultant file
Results by Area,replace,results by area
Retail,replace,retail
Retail stores,replace,retail stores
Retaining Wall,replace,retaining wall
Retired,replace,retired
Retrograde Skarn,replace,retrograde skarn
Revenue,replace,revenue
reviews,replace,review
Rheumatic,replace,rheumatic
Rhyolite,replace,rhyolite
Rhyolitic Tuffaceous,replace,rhyolitic tuffaceous
right of ways,replace,right of way
Riparian,replace,riparian
Rivers and Streams,replace,rivers and streams
rmz,replace,RMZ
RMZ DEC00,replace,RMZ
Road,replace,road
Road Density Model,replace,road density model
Road Features Inventory,replace,road features inventory
Road Lines,replace,road lines
Road network,replace,road network
Road Structure,replace,road structure
Road Surface Type,replace,road surface type
ROADS,replace,road
roads,replace,road
Rock Properties,replace,rock properties
Rockies,remove,
rocks,replace,rock
Rocks to Riches,replace,rocks to riches
rocky mountain,replace,Rocky Mountains
Rocky mountain ridged mussel,replace,rocky mountain
Rog,remove,
Rugged Terrain,replace,rugged terrain
Safety,replace,safety
Salamander,replace,salamander
salamanders,replace,salamander
Salaries,replace,salary
Salary,replace,salary
Sales,replace,sales
Salmon,replace,salmon
Salmon Hatcheries,replace,salmon hatchery
Salmon Species,replace,salmon species
Saltwater Finfish,replace,saltwater finfish
Saltwater Fish,replace,saltwater fish
Sample Tile,replace,sample tile
Sampling Sites,replace,sampling sites
Sand and Gravel,replace,sand and gravel
Sand Hill Crane,replace,Sand Hill crane
satellite camps,replace,satellite camp
scholarship awards,replace,scholarship award
scholarships,replace,scholarship  
School,replace,school
school boards,replace,school board
school courses,replace,school course
School district,replace,school district
School District,replace,school district
school programs,replace,school program
schools,replace,school
Schools,replace,school
Science,replace,science
Screening,replace,screening
Seabird,replace,seabird
seabirds,replace,seabird
Sealions,replace,sealion
seals,replace,seal 
Search Routines,replace,search routines
Secondary,replace,secondary
secondary schools,replace,secondary school
Section,replace,section
Sections,replace,section
SEDIMENT BASINS,replace,sediment basins
Sediment Sampling,replace,sediment sampling
Sedimentary Rocks,replace,sedimentary rocks
Sedimentation,replace,sedimentation
Seed,replace,seed
Seedlot,replace,seedlot
Seeds,replace,seed
Seismic Profiles,replace,seismic profiles
Seismic Reflection,replace,seismic reflection
Select Seed,replace,select seed
Seneca Deposit,replace,seneca deposit
senior managers,replace,senior manager
Senior Secondary,replace,senior secondary
seniors,replace,senior  
Sensitive,replace,sensitive
Sensitive Area,replace,sensitive area
Sensitive Data,replace,sensitive data
Sensitive Ecosystem Inventory,replace,sensitive ecosystem inventory
Sensitive Ecosystems,replace,sensitive ecosystem
Sensitive Ecosystems Inventory,replace,sensitive ecosystems inventory
Sensitive Habitat,replace,sensitive habitat
Sensitive Site,replace,sensitive site
Sensitive Stream,replace,sensitive stream
Sensitivities,replace,sensitivity
Sensitivity,replace,sensitivity
Seral Stage Analysis,replace,seral stage analysis
Service,replace,service
Service Directory,replace,service directory
service points,replace,service point
services,replace,service
Services,replace,service
Settlement area,replace,settlement area
Settlement Information and Support,replace,settlement information and support
Settlement Services providers,replace,settlement services providers
Shade,replace,shade
Sharp Tailed Grouse,replace,sharp tailed grouse
Shear Hosted Vein,replace,shear hosted vein
Shear Vein,replace,shear vein
Shearwaters,replace,shearwater
Sheep,replace,sheep
Shellfish,replace,shellfish
Shellfish Capability,replace,shellfish capability
Shore Spawning,replace,shore spawning
Shorebirds,replace,shorebird
Shorezone,replace,shorezone
Short-Term,replace,short-term
Shrub-steppe,replace,shrub-steppe
Sightseeing and tour operators,replace,sightseeing and tour operators
SIGN,replace,sign
Sign Bridge,replace,sign bridge
Silica Alteration,replace,silica alteration
Silica Undersaturated,replace,silica undersaturated
Silver,replace,silver
Silver Gold Copper,replace,silver gold copper
Silver Lead Copper Gold,replace,silver lead copper gold
Silver Lead Zinc Barium Strontium Copper Gold,replace,silver lead zinc barium strontium copper gold
Silviculture,replace,silviculture
Silviculture Systems,replace,silviculture system
Silviculture Treatments,replace,silviculture treatment
Sinkhole,replace,sinkhole
SITE,replace,site
Site,replace,site
Site Index,replace,site index
Site Locations,replace,site locations
Site Preparation,replace,site preparation
Site Series,replace,site series
Sites,replace,site
six year completion,remove,
six year dogwood completion,remove,
Skarn,replace,skarn
Ski Hill,replace,ski hill
Ski Hills in British Columbia,replace,ski hill
skill levels,replace,skill level
Slashing,replace,slashing
Slope,replace,slope
Slope Stability,replace,slope stability
Small Business,replace,small business
Small Mammal,replace,small mammal
Small Mammals,replace,small mammal
Smoke,replace,smoke
Smokehouse,replace,smokehouse
Snip,replace,snip
Snow,replace,snow
Snow Stations,replace,snow stations
snow surveys,replace,snow survey
Snowmobile,replace,snowmobile
snowmobile areas within mountain caribou,remove,
Snowshed,replace,snowshed
Soapstone,replace,soapstone
Social,replace,social
Social Development,replace,social development
Social housing,replace,social housing
Social Innovation,replace,social innovation
Social Services,replace,social services
soe,replace,SOE
soi boundaries,remove,
Soil,replace,soil
Soil Capability,replace,soil capability
Soil Classification,replace,soil classification
Soil Erosion,replace,soil erosion
Soil Geochemistry,replace,soil geochemistry
Soil Suitability,replace,soil suitability
Soils,replace,soil
Soils Terrain and Ecosystems,replace,soils terrain and ecosystem
Solicitor General,replace,solicitor general
soscp_bndry,remove,
Source,replace,source
South Ainslie watershed,replace,South Ainslie Watershed
south coast,replace,South Coast
South eastern BC,replace,Southeastern BC
South Inner Coast Shorezone videos,replace,South Inner Coast Shorezone
South Vancouver Island Shorezone videos,replace,South Vancouver Island Shorezone
Southern,replace,southern
southern BC,replace,Southern BC
southern interior region,replace,Southern Interior Region
Spacing,replace,spacing
spanish,replace,Spanish
Spatial Analysis Projects,replace,spatial analysis projects
Spawning,replace,spawning
Spawning Sites,replace,spawning sites
Special Fish Management,replace,special fish management
Special Lane,replace,special lane
Special Management Zones,replace,special management zones
Specialists,replace,specialist
specials,replace,special
Species,replace,species
Species at risk,replace,species at risk
Species at Risk,replace,species at risk
Species Distribution Modeling,replace,species distribution modeling
Species Inventory,replace,species inventory
Specified Areas,replace,specified area
Specified Areas for ungulate species,replace,specified areas for ungulate species
Spectrum Claims,replace,spectrum claims
Speech Therapist,replace,speech therapist
Spending,replace,spending
Sphalerite,replace,sphalerite
Spirits,replace,spirits
SPONGE,replace,sponge
Sport,replace,sport
Sport Fish,replace,sport fish
Sport Fishing,replace,sport fishing
Sportfish,replace,sport fish
sports,replace,sport
Springs,replace,spring
Sr Wet,remove,
srmp,replace,SRMP
sry,remove,
Staging,replace,staging
Stand Structure,replace,stand structure
Standard Objects of Expense,replace,standard objects of expense
Standards Units,replace,standards unit
State,replace,state
state of environmental,remove,
Statement,replace,statement
Statement of Changes,replace,statement of change
Statement of Intent,replace,statement of intent
Station,replace,station
statistical summaries,replace,statistical summary
Statistics,replace,statistics
STATISTICS CANADA,replace,Statistics Canada
statusBC Corrections,remove,
Staurolite,replace,staurolite
staus,replace,status
Stellar,replace,stellar
Stillbirth,replace,stillbirth
Stock Range,replace,stock range
Stocked Lakes,replace,stocked lakes
Stocking Standards,replace,stocking standard
Storage,replace,storage
Storm Sewer,replace,storm sewer
Stratabound Sulphides,replace,stratabound sulphides
Strategic Land and Resource Plans,replace,strategic land and resource plan
Strategic land resource plan,replace,strategic land and resource plan
Stratigraphy,replace,stratigraphy
Stream Buffer,replace,stream buffer
Stream Classification,replace,stream classification
stream directions,replace,stream direction
Stream Discharge,replace,stream discharge
Stream Flow,replace,stream flow
Stream Gradients,replace,stream gradient
stream guages,replace,stream guage
stream management buffers,replace,stream management buffer
Stream Sample sites,replace,stream sample sites
Stream Sediment,replace,stream sediment
Stream Sediment Geochemistry,replace,stream sediment geochemistry
Stream Sediment Sampling,replace,stream sediment sampling
Stream Sediments,replace,stream sediments
Stream Sensitivity,replace,stream sensitivity
Stream Water Geochemistry,replace,stream water geochemistry
Stream Water Sampling,replace,stream water sampling
streamflow,replace,stream flow
streams,replace,stream
Streams,replace,stream
strm_bufs,remove,
strong start centres,replace,strong start centre
Strong Start Program,replace,strong start program
Strontium Isotopes,replace,strontium isotopes
Structural,replace,structural
Structural Geology,replace,structural geology
Structural stage,replace,structural stage
Structure,replace,structure
Structures,replace,structure
student outcomes surveys,replace,student outcome survey
students,replace,student
Study Areas,replace,study area
Study Boundary,replace,study boundary
Sturgeon,replace,sturgeon
Sub Basins,replace,sub basins
Subdivision,replace,subdivision
Subdivision Applications,replace,subdivision applications
Subdivisions,replace,subdivisions
Substrate,replace,substrate
Suicide,replace,suicide
Suitability,replace,suitability
Sulphide Weathering,replace,sulphide weathering
Sulphides,replace,sulphides
Sulphur,replace,sulphur
Sulphurets Area,replace,sulphurets area
Sulphurets Map Area,replace,sulphurets map area
summaries,replace,summary
Summary Statement of Financial Position,replace,summary statement of financial position
summer lake surveys,replace,summer lake survey
Sun,remove,
Sunshine,replace,sunshine
sunshine coast,replace,Sunshine Coast
Supplement,replace,supplement
suppliers,replace,supplier
Support,replace,support
Supreme,replace,supreme
Surface,replace,surface
Surface Geology,replace,surface geology
Surface Water,replace,surface water
Surficial Geology,replace,surficial geology
surgeries,replace,surgery
Surplus,replace,surplus
Surprise Showings,replace,surprise showings
surrey,replace,Surrey
Survey,replace,survey
Survey Areas,replace,survey area
Survey Monuments,replace,survey monument
Survey Observations,replace,survey observations
Survey Summary,replace,survey summary
Surveys,replace,survey
Sustainable,replace,sustainable
swamps,replace,swamp
swans,replace,swan
Syenite,replace,syenite
Table,replace,table
Talc,replace,talc
Tanatalis,replace,tantalis
Tantalis,replace,tantalis
taseko watershed,replace,Taseko watershed
taste magazine,replace,Taste magazine
Tats Sulphide,replace,tats sulphide
Tax,replace,tax
Tax Burden,replace,tax burden
Tax Rates,replace,tax rates
Taxes,replace,taxes
Taxes and Charges on a Representative House,replace,taxes and charges on a representative house
tdsc_rca,remove,
teachers,replace,teacher
Technical School,replace,technical school
Technoloy,replace,technology
Tectonic Evolution,replace,tectonic evolution
Ted Burns,remove,
Teenage Mother,replace,teenage mother
Telemetry,replace,telemetry
Telemetry Observations,replace,telemetry observation
Television,replace,television
TEM 20,replace,TEM
TEM 20K,replace,TEM
TEM 50,replace,TEM
TEM 50K,replace,TEM
TEM greater than 20,replace,TEM
TEM GT 20K,replace,TEM
TEM Less than 20K,replace,TEM
TEN LANDUSE,replace,land use tenure
Tenure,replace,tenure
Tenure Area,replace,tenure area
Tenure Areas,replace,tenure area
tenures,replace,tenure
Tenures,replace,tenure
Tenures and Applications,replace,tenures and applications
Ten-year,remove,
terms,replace,term
Terrain,replace,terrain
Terrain and Ecosystems,replace,terrain and ecosystems
Terrain Ecosystem Information System,replace,terrain and ecosystem information system
Terrain Hazards,replace,terrain hazard
Terrain Inventory,replace,terrain inventory
Terrain Inventory Mapping,replace,terrain inventory mapping
Terrain Mapping,replace,terrain mapping
Terrain Stability,replace,terrain stability
Terrain Stability Mapping,replace,terrain stability mapping
Terrestrial Ecosystem Information,replace,terrestrial ecosystem mapping
Terrestrial Ecosystem Mapping,replace,terrestrial ecosystem mapping
Terrestrial Mammal,replace,terrestrial mammal
Terrestrial Mammals,replace,terrestrial mammal
Terrestrial Reports,replace,terrestrial report
TERRITORIAL,replace,territorial
Tertiary,replace,tertiary
test,remove,
Tested,remove,
testee,remove,
tester,remove,
Testy,remove,
TFL 39,replace,tfl
TFL 39 submission,replace,tfl
tfl14,replace,tfl
TFL39,replace,tfl
tgbh_dmc,remove,
tgbn_rca,remove,
tgen_rca,remove,
The Arts,replace,art
The Count,remove,
Thermal,replace,thermal
Thermobarometry,replace,thermobarometry
Third,remove,
thlb,replace,THLB
THLB TV1,replace,THLB
THLB TV2,replace,THLB
Threatened,replace,threatened
Threatened Ecosystems,replace,threatened ecosystems
tickets,replace,ticket
Till Geochemistry,replace,till geochemistry
Timber Habitat Analysis,replace,timber habitat analysis
Timber Harvesting,replace,timber harvesting
Timber Harvesting Landbase,replace,timber harvesting landbase
Timber Licence,replace,timber licence
Timber Supply Areas,replace,timber supply areas
Timber Supply Review,replace,timber supply review
Timber Supply Review 2,replace,timber supply review
Titanite,replace,titanite
titles,replace,title
Titles,replace,title
toddlers,replace,toddler
top ten,remove,
Topographic Maps,replace,topographic map
Topography,replace,topography
Total Taxes and Charges,replace,total taxes and charges
Tourism,replace,tourism
tourism activities,replace,tourism activity
Tourism Facilities,replace,tourism facilities
tourism feature areas,remove,
tourism features,remove,
Tourism Opportunity Studies,replace,tourism opportunity studies
Tourism Opportunity Study,replace,tourism opportunity study
Tourism Sites,replace,tourism site
Tourism use,replace,tourism use
tourism use areas,remove,
Tourist accommodations,replace,tourist accommodations
tours,replace,tour 
Town,replace,town
Townships,replace,township
Tract,replace,tract
Trade School,replace,trade school
Traditional,replace,traditional
Traditional Territories,replace,traditional territories
Traditional Territory,replace,traditional territory
Traditional Use Study,replace,traditional use study
Trail Management Agreements,replace,trail management agreements
trails,replace,trail
Trails,replace,trail
Training and Enterprise Support,replace,training and enterprise support
transfers,replace,transfer
Transfers,replace,transfer
Transit,replace,transit 
Transit and ground passenger transportation,replace,transit and ground passenger transportation
Transition,replace,transition
transitions,replace,transition
Translation,replace,translation
Trap Line,replace,trapline
Travel,replace,travel
Treaty,replace,treaty
Treaty Land,replace,treaty land
Treaty Related Land,replace,treaty related land
Tree,replace,tree
Tree Farm License boundaries,replace,tree farm license boundaries
Tree Species,replace,tree species
Trees,replace,trees
trim,replace,TRIM
Trophy,replace,trophy
Trout,replace,trout
Truck,replace,truck
tsa,replace,TSA
TSA 15,replace,TSA
TSA FDP RDS,replace,TSA
Tsa latl,replace,TSA
Tsa latl Smokehouse,replace,TSA
tscl_rca,remove,
tser,remove,
tser_dch,remove,
tser_dho,remove,
tser_dmh,remove,
tser_dqu,remove,
tser_dwl,remove,
TSR submission,replace,TSR
TSR2,replace,TSR
TSR2 Resultant,replace,TSR
Tsunami,replace,tsunami
ttsm_rca,remove,
Tunnel,replace,tunnel
turtles,replace,turtle
twet_rca,remove,
twet_rca_bufs,remove,
Twin Zone,replace,twin zone
U Pb Geochronology,replace,u pb geochronology
U Pb Geochronometry,replace,u pb geochronometry
U Pb Zircon Geochronology,replace,u pb zircon geochronology
uat,replace,UAT
Undeveloped Watersheds,replace,undeveloped watersheds
Ungulate,replace,ungulate
Ungulate Winter Range,replace,ungulate winter range
Ungulates,replace,ungulate
Unintentional Injuries,replace,unintentional injury
Units,replace,unit
Universities,replace,university
University,replace,university
Unspecified,replace,unspecified
Update,replace,update
Upstream,replace,upstream
Uranium,replace,uranium
Uranium Lead,replace,uranium lead
Uranium Lead Geochronology,replace,uranium lead geochronology
US,replace,USA
usa,replace,USA
USA pacific north west,replace,USA Pacific Northwest
Utilities,replace,utilities
uwr,replace,UWR
Valley,replace,valley
Value,replace,value
Valvular,replace,valvular
vancouver island,replace,Vancouver Island
Vanouver Island Marmot,replace,Vancouver Island marmot
VEG,replace,veg
Veg Cover,replace,vegetation cover
veg_comp,remove,
Vegetation,replace,vegetation
Vegetation Cover,replace,vegetation cover
Vegetation Resource Inventory,replace,vegetation resource inventory
Vegetation Resources Inventory,replace,vegetation resource inventory
Vegetative Screening,replace,vegetative screening
vehicles,replace,vehicle
Vein Deposit,replace,vein deposit
Vermiculite,replace,vermiculite
vertebrates,replace,vertebrate
Vertical Aerial Photography,replace,vertical aerial photography
Vessel,replace,vessel
vhf,replace,VHF
Village,replace,village
Vineyards,replace,vineyards
violations,replace,violation
visible minorities,replace,visible minority
Visitor Centres,replace,visitor centre
visitor stats,replace,visitor statistics
visitors to bc,remove,
Visual Arrows,replace,visual arrows
Visual Lakes,replace,visual lakes
Visual Quality,replace,visual quality
Visual Resource Management,replace,visual resource management
Visual Resources,replace,visual resources
Visual Screening,replace,visual screening
Visual Viewpoints,replace,visual viewpoints
Vital Statistics,replace,vital statistics
Vitrinite Reflectance,replace,vitrinite reflectance
Vocational School,replace,vocational school
Volcanic Centres,replace,volcanic centres
Volcanic Stratigraphy,replace,volcanic stratigraphy
Volcanogenic,replace,volcanogenic
Volcanogenic Massive Sulphides,replace,volcanogenic massive sulphides
vqo,replace,VQO
Vulnerability,replace,vulnerable
Wages,replace,wage
Waste,replace,waste
Water,replace,water
Water Allocation Restrictions,replace,water allocation restriction
Water Chemistry,replace,water chemistry
Water Districts,replace,water district
Water Licence Works,replace,water licence work
Water Licencing,replace,water licensing
Water Licensing,replace,water licensing
Water Management,replace,water management
Water Management Districts,replace,water management district
Water management precincts,replace,water management precinct
Water Management Precincts,replace,water management precinct
Water Officer,replace,water officer
Water Personnel,replace,water personnel
Water Precincts,replace,water precincts
Water Quality,replace,water quality
Water Quality Objectives Reports,replace,water report
Water Reports,replace,water report
Water Reserve,replace,water reserve
Water Reserves,replace,water reserve
Water Resource Management,replace,water resource management
Water Responsibility,replace,water responsibility
Water Restrictions,replace,water restriction
Water Rights,replace,water rights
Water Stewardship,replace,water stewardship
Water Stewardship Division,replace,water stewardship division
Water Tenures,replace,water tenure
Water tenures,replace,water tenure
Waterfowl,replace,waterfowl
Watershed,replace,watershed
Watershed Atlas,replace,watershed atlas
Watershed Dictionary,replace,watershed dictionary
Watersheds,replace,watershed
Waterwells,replace,well
wcc,replace,WCC
Web,replace,web
Web and Social Media,replace,web and social media
Web-service,replace,web service
wells,replace,well
Wells,replace,well
West Kootenays,replace,West Kootenay
Westcentral British Columbia,replace,West Central British Columbia
Wetland,replace,wetland
Wetland Riparian,replace,wetland riparian
wetlands,replace,wetland
Wetlands,replace,wetland
WHA submission,replace,WHA
WHSE_WILDLIFE_MANAGEMENT.WCP_WILDLIFE_HABITAT_AREA_POLY,remove,
Wildfire,replace,wildfire
Wildife,replace,wildlife
Wildlife,replace,wildlife
wildlife features,replace,wildlife feature
Wildlife Habitat,replace,wildlife habitat
Wildlife Habitat Areas,replace,wildlife habitat area
Wildlife Habitat Ratings,replace,wildlife habitat rating
Wildlife Habitat Units,replace,wildlife habitat units
Wildlife inventory,replace,wildlife inventory
Wildlife Inventory,replace,wildlife inventory
Wildlife Management,replace,wildlife management
Wildlife Management Areas,replace,wildlife management area
Wildlife Modeling,replace,wildlife modeling
Wildlife Observation,replace,wildlife observation
Wildlife potential,replace,wildlife potential
Wildlife Reserves,replace,wildlife reserve
Wildlife Species Inventory,replace,wildlife species inventory
wildlife surveys,replace,wildlife surveys
Wildlife Telemetry Observations,replace,wildlife telemetry observation
Wildlife Tree Retention,replace,wildlife tree retention
Wildlilfe Reserves,replace,wildlife reserves
Wildllife,replace,wildlife
Wine,replace,wine
Winter,replace,winter
Winter Range,replace,winter range
winter ranges,replace,winter range
wld,remove,
wms,replace,WMS
Wollastonite,replace,wollastonite
Wood,replace,wood
Woodland Caribou,replace,woodland caribou
Woodpecker,replace,woodpecker
Work Done,replace,work done
wrestore,remove,
wrp,replace,WRP
wsa,replace,WSA
wst,replace,WST
Yellow Badger,replace,yellow badger
Yellow pine Chipmunk,replace,yellow pine chipmunk
Yoga,replace,yoga
Zeolites,replace,zeolite
Zinc,replace,zinc
Zircon,replace,zircon
Zircons,replace,zircon
ZN Pb Ag Ba Exhalite Deposit,replace,zn pb ag ba exhalite deposit
ZONE,replace,zone
Zostera japonica,replace,zostera japonica
Zostera marina,replace,zostera marina
